name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7350.671657085419,	0.051149361,	-0.001095808112598024,	11,	0.051149361,	-0.005590857717336857,	
7351.671657085419,	0.051149435,	-0.001096723331301477,	11,	0.051149435,	-0.00559552720051774,	
7352.671657085419,	0.051157046,	-0.001100049852416851,	11,	0.051157046,	-0.00561249924702475,	
7353.671657085419,	0.05114175,	-0.001095444214250892,	11,	0.05114175,	-0.005589001093116796,	
7354.671657085419,	0.051160853,	-0.001097303931764327,	11,	0.051160853,	-0.005598489447777178,	
7355.671657085419,	0.051160853,	-0.001098148515645881,	11,	0.051160853,	-0.005602798549213678,	
7356.671657085419,	0.051157046,	-0.001097314676782118,	11,	0.051157046,	-0.00559854426929652,	
7357.671657085419,	0.051168464,	-0.001095274541771506,	11,	0.051168464,	-0.005588135417201561,	
7358.671657085419,	0.051114965,	-0.001098632303415802,	11,	0.051114965,	-0.005605266854162255,	
7359.671657085419,	0.051157046,	-0.001098828982713167,	11,	0.051157046,	-0.005606270319965138,	
7360.671657085419,	0.051126454,	-0.001100922319549138,	11,	0.051126454,	-0.005616950609944582,	
7361.671657085419,	0.051122651,	-0.001096095463563689,	11,	0.051122651,	-0.0055923237936922904,	
7362.671657085419,	0.051126454,	-0.001095388809766154,	11,	0.051126454,	-0.005588718417174255,	
7363.671656847,	0.051149361,	-0.001096654845087326,	11,	0.051149361,	-0.005595177781057785,	
7364.671656847,	0.051134139,	-0.001095027272740846,	11,	0.051134139,	-0.00558687384051452,	
7365.671656847,	0.051122651,	-0.001096853652456776,	11,	0.051122651,	-0.005596192104371306,	
7366.671656847,	0.051122651,	-0.001098166457307525,	11,	0.051122651,	-0.005602890088303699,	
7367.671656847,	0.051107354,	-0.001095431245188232,	11,	0.051107354,	-0.005588934924429754,	
7368.671656847,	0.05111504,	-0.001099486833438277,	11,	0.05111504,	-0.005609626701215699,	
7369.671656847,	0.05108064,	-0.001096199768153019,	11,	0.05108064,	-0.005592855959964382,	
7370.671656847,	0.051164657,	-0.00109340321579948,	11,	0.051164657,	-0.005578587835711632,	
7371.671656847,	0.051130261,	-0.001094614845793695,	11,	0.051130261,	-0.005584769621396402,	
7372.671656847,	0.051149361,	-0.001097153289278504,	11,	0.051149361,	-0.005597720863665836,	
7373.671656847,	0.051172342,	-0.001096820216765628,	11,	0.051172342,	-0.005596021514110348,	
7374.671656847,	0.051149435,	-0.001096386267303025,	11,	0.051149435,	-0.0055938074862399234,	
7375.671656847,	0.051137947,	-0.001097518743411638,	11,	0.051137947,	-0.005599585425569582,	
7376.671656847,	0.051122651,	-0.001095854937913828,	11,	0.051122651,	-0.005591096622009326,	
7377.671656847,	0.05114175,	-0.001097034649667331,	11,	0.05114175,	-0.005597115559527199,	
7378.671656847,	0.051153243,	-0.001092035677400418,	11,	0.051153243,	-0.005571610598981724,	
7379.671656847,	0.051160853,	-0.001093521961045917,	11,	0.051160853,	-0.005579193678805699,	
7380.671656847,	0.051122651,	-0.001097701873467305,	11,	0.051122651,	-0.00560051976258829,	
7381.671656847,	0.051134065,	-0.001095041430217679,	11,	0.051134065,	-0.0055869460725391775,	
7382.671656847,	0.051103547,	-0.001092829981062096,	11,	0.051103547,	-0.005575663168684163,	
7383.6716566085815,	0.051168539,	-0.001098635043413379,	11,	0.051168539,	-0.005605280833741729,	
7384.6716566085815,	0.051134139,	-0.001096619876101613,	11,	0.051134139,	-0.0055949993678653725,	
7385.6716566085815,	0.05111504,	-0.001097213362227194,	11,	0.05111504,	-0.005598027358302011,	
7386.6716566085815,	0.051137947,	-0.001093181089893915,	11,	0.051137947,	-0.005577454540275076,	
7387.6716566085815,	0.051157046,	-0.001095615880633706,	11,	0.051157046,	-0.005589876942008704,	
7388.6716566085815,	0.051130336,	-0.001093277229240631,	11,	0.051130336,	-0.005577945047146076,	
7389.6716566085815,	0.051088251,	-0.001095889947062824,	11,	0.051088251,	-0.005591275240116449,	
7390.6716566085815,	0.051126454,	-0.001095573164580857,	11,	0.051126454,	-0.005589659002963556,	
7391.6716566085815,	0.05114175,	-0.001092078126803973,	11,	0.05114175,	-0.005571827177571291,	
7392.6716566085815,	0.051122651,	-0.001095834842871412,	11,	0.051122651,	-0.005590994096282714,	
7393.6716566085815,	0.051164657,	-0.001092087667365561,	11,	0.051164657,	-0.005571875853905924,	
7394.6716566085815,	0.05114175,	-0.00109430906015914,	11,	0.05114175,	-0.005583209490607857,	
7395.6716566085815,	0.051149435,	-0.001094722108764108,	11,	0.051149435,	-0.0055853168814495304,	
7396.6716566085815,	0.051095862,	-0.00109320867813658,	11,	0.051095862,	-0.005577595296615203,	
7397.6716566085815,	0.05114175,	-0.001096784967323766,	11,	0.05114175,	-0.0055958416700192136,	
7398.6716566085815,	0.051176149,	-0.001093116205267145,	11,	0.051176149,	-0.005577123496260944,	
7399.6716566085815,	0.051164657,	-0.00109215287890984,	11,	0.051164657,	-0.00557220856586653,	
7400.6716566085815,	0.051107354,	-0.001090571173338685,	11,	0.051107354,	-0.005564138639483087,	
7401.6716566085815,	0.051145557,	-0.001093565728922841,	11,	0.051145557,	-0.005579416984300209,	
7402.6716566085815,	0.05111504,	-0.001088739810115659,	11,	0.05111504,	-0.0055547949495696886,	
